,Lc_x,f0,angle,Peak_Sliding_Left,Peak_Uplift_Left,Peak_Sliding_Bottom,Peak_Uplift_Bottom,Peak_Sliding_Right,Peak_Uplift_Right,PGUx,PGUz,PGVx,PGVz,PGAx,PGAz
0,40,0.5,0,0.006571646,0.003724484,0.0009723742,0.007078846,0.006921268,0.0035447404,0.30425743453414356,0.09795951946940629,0.19787885,0.028291216,0.30425743453414356,0.09795951946940629
1,40,0.5,0,0.0061665853,0.004968524,0.0010015636,0.0061665853,0.0040034843,0.001398221,0.37635507376836586,0.1309295819492292,0.15395656,0.029620592,0.37635507376836586,0.1309295819492292
2,40,0.5,0,0.012281634,0.0034060157,0.00096940453,0.012281634,0.011394956,0.0029941325,0.31554219442283227,0.07933391030433556,0.21576545,0.07950974,0.31554219442283227,0.07933391030433556
3,40,0.5,0,0.006303514,0.0025862749,0.0023785476,0.009575163,0.009919208,0.003998522,0.4493654674265599,0.1096560523140786,0.3597526,0.12273392,0.4493654674265599,0.1096560523140786
4,40,0.5,0,0.004386732,0.000523196,0.0008237909,0.004284702,0.0032593207,0.0014744094,0.30799844046242697,0.04586641162086902,0.21938542,0.057677425,0.30799844046242697,0.04586641162086902
5,40,0.5,30,0.010623353,0.0026546428,0.00814754,0.011563697,0.011112122,0.021223633,0.4245098560380285,0.359953727450403,0.2049023,0.15961044,0.4245098560380285,0.359953727450403
6,40,0.5,30,0.005421116,0.0023663524,0.003205666,0.008723623,0.008723623,0.02408295,0.42601759737820544,0.30311721426715366,0.17688374,0.1290001,0.42601759737820544,0.30311721426715366
7,40,0.5,30,0.0015917185,0.0011531928,0.0045347996,0.00874681,0.00874681,0.02262731,0.24830018850312285,0.2693144116944097,0.15379843,0.1110165,0.24830018850312285,0.2693144116944097
8,40,0.5,30,0.0013253003,0.0017785742,0.0040091313,0.005162271,0.0052462663,0.014066995,0.2016437190855882,0.1527106045460549,0.13714316,0.09621204,0.2016437190855882,0.1527106045460549
9,40,0.5,30,0.00020797142,0.000446964,0.0024366146,0.0031639885,0.003342971,0.0067396895,0.15539193162226894,0.11793788836764563,0.12953983,0.08917322,0.15539193162226894,0.11793788836764563
10,40,1.0,0,0.018434854,0.0029574283,0.0012167728,0.018638307,0.018642446,0.006546839,0.9878129496920565,0.9784565711817668,0.267599,0.12045658,0.9878129496920565,0.9784565711817668
11,40,1.0,0,0.013204585,0.0027023416,0.0018566329,0.019655263,0.020941107,0.01236446,1.6195197613292933,0.8844277997601786,0.4022157,0.07434449,1.6195197613292933,0.8844277997601786
12,40,1.0,0,0.01043114,0.0017501438,0.0017501438,0.014021562,0.014536604,0.005545267,1.1997813082898858,0.4547766620193272,0.2981553,0.07032113,1.1997813082898858,0.4547766620193272
13,40,1.0,0,0.010645586,0.0005363097,0.0005363097,0.012233691,0.012233691,0.0057541113,0.8922551273249084,0.7622972475202149,0.23109113,0.04254967,0.8922551273249084,0.7622972475202149
14,40,1.0,0,0.013192586,0.0008756701,0.0011642794,0.01377151,0.01377151,0.0044230986,1.040354247070347,0.5319635442806212,0.27404147,0.077183746,1.040354247070347,0.5319635442806212
15,40,1.0,30,0.004542127,0.001623405,0.0041942433,0.0070141177,0.0055054594,0.013326364,0.8447171596924647,0.6485107430765709,0.22923762,0.15481697,0.8447171596924647,0.6485107430765709
16,40,1.0,30,0.0030319989,0.002137252,0.0044734813,0.010548648,0.010417313,0.021253934,0.5931163766018841,0.5804645387006957,0.1931478,0.1318014,0.5931163766018841,0.5804645387006957
17,40,1.0,30,0.015682701,0.0028218417,0.0030483129,0.019839186,0.019839186,0.02668437,1.0455572070114698,1.2978195677349404,0.22443858,0.17196405,1.0455572070114698,1.2978195677349404
18,40,1.0,30,0.01926876,0.0055431416,0.0067723915,0.016506623,0.008018066,0.025991527,1.3945243043583702,0.9940521130964157,0.27231956,0.17472565,1.3945243043583702,0.9940521130964157
19,40,1.0,30,0.0043776073,0.0014551111,0.0036768576,0.007771454,0.0073239976,0.028179195,0.89171895189331,1.0231438157410722,0.25282788,0.16138819,0.89171895189331,1.0231438157410722
20,40,2.0,0,0.00819268,0.0036313916,0.0013119838,0.013741767,0.013741767,0.010860259,2.0477656064251804,0.9854139409358762,0.22097965,0.16570051,2.0477656064251804,0.9854139409358762
